time_step,approxkl,0th energy cost ,0th greedy energy cost,0th qoe ,clipfrac,value_loss,0th HEFT energy cost,time_one_episode,0th greedy run time cost,mean reward,time_elapsed,policy_loss,0th HEFT qoe,0th HEFT run time cost,0th run time cost ,policy_entropy,0th greedy qoe
1,0.9508886337280273,4815.009369459075,4813.656442297617,-1.2226315645721932,0.5503767132759094,0.5753068923950195,6460.546929762217,43.99839448928833,2305.75997616609,-0.9607455358486546,43.99839901924133,0.1138518825173378,0.1359243206819668,905.3067227169673,2305.1025015567147,0.020772749558091164,-1.223374491770726
2,0.00034922940540127456,4816.328477610117,4813.656442297617,-1.2198253721398225,0.0002199999726144597,0.11808305978775024,6460.546929762217,34.66504096984863,2305.75997616609,-1.206173660300845,79.01935529708862,6.416604446712881e-05,0.1359243206819668,905.3067227169673,2301.769481374423,0.008097149431705475,-1.223374491770726
3,0.0021057508420199156,4825.034195292409,4813.656442297617,-1.2111680133205776,0.002176666632294655,0.08202217519283295,6460.546929762217,32.32011795043945,2305.75997616609,-1.2026614497912687,111.44958543777466,0.0001748220674926415,0.1359243206819668,905.3067227169673,2292.2541218366623,0.038511138409376144,-1.223374491770726
4,0.0009101562900468707,4824.912110719757,4813.656442297617,-1.21094924687595,0.005153334233909845,0.04658080264925957,6460.546929762217,31.174840927124023,2305.75997616609,-1.196086719185776,142.7387056350708,-0.00034412083914503455,0.1359243206819668,905.3067227169673,2294.8637594181696,0.052940864115953445,-1.223374491770726
5,0.0009257643250748515,4843.508232964019,4813.656442297617,-1.194803798680789,0.009830000810325146,0.041456691920757294,6460.546929762217,30.623051166534424,2305.75997616609,-1.189777313279024,173.4850161075592,-0.0011217247229069471,0.1359243206819668,905.3067227169673,2276.03964653047,0.07505706697702408,-1.223374491770726
6,0.003575801383703947,4871.290436556092,4813.656442297617,-1.1728204629750432,0.013833333738148212,0.042347148060798645,6460.546929762217,30.14483118057251,2305.75997616609,-1.1790680563843137,203.74040532112122,-0.0011597786797210574,0.1359243206819668,905.3067227169673,2247.6715630823774,0.11375097930431366,-1.223374491770726
7,0.007372564170509577,4924.1965549461875,4813.656442297617,-1.1290545772408023,0.03422999382019043,0.028970927000045776,6460.546929762217,29.980191707611084,2305.75997616609,-1.1496220498539083,233.8321921825409,-0.00356230023317039,0.1359243206819668,905.3067227169673,2204.1122904030485,0.18794943392276764,-1.223374491770726
8,0.017668727785348892,4989.609609618327,4813.656442297617,-1.0622508244976665,0.08177666366100311,0.021175991743803024,6460.546929762217,30.074134349822998,2305.75997616609,-1.1172434893603018,264.01188015937805,-0.004080406855791807,0.1359243206819668,905.3067227169673,2133.6217837088902,0.2517118453979492,-1.223374491770726
9,0.013383504934608936,5062.969926018575,4813.656442297617,-0.9907924509357138,0.12880000472068787,0.020960336551070213,6460.546929762217,29.69727063179016,2305.75997616609,-1.0295715172062092,293.81860423088074,-0.014061016030609608,0.1359243206819668,905.3067227169673,2065.5687342770893,0.3123874366283417,-1.223374491770726
10,0.013469423167407513,5175.375201020253,4856.062411831868,-0.8783082481357919,0.1838933229446411,0.024278530851006508,6460.546929762217,29.972488164901733,2259.824535551389,-0.9609003562904301,323.89876079559326,-0.017344016581773758,0.1359243206819668,905.3067227169673,1938.898438828151,0.34835612773895264,-1.1816682884959986
11,0.013897685334086418,5235.931235333812,5231.890519354909,-0.8396945198714283,0.21712999045848846,0.019774053245782852,6460.546929762217,30.17757558822632,1896.9599300489426,-0.886815525229588,354.18260407447815,-0.021202271804213524,0.1359243206819668,905.3067227169673,1896.1507291463215,0.3768920600414276,-0.8399265396691671
12,0.013824027962982655,5352.896454192657,5376.444029155933,-0.7474283544088612,0.21594002842903137,0.02098313719034195,6460.546929762217,29.42878246307373,1792.96284367466,-0.7911895087058738,383.72181129455566,-0.0204140804708004,0.1359243206819668,905.3067227169673,1800.818946943283,0.392574667930603,-0.740291746046476
13,0.012491500005126,5432.023524158936,5509.382242475584,-0.6789646873087414,0.19268330931663513,0.020574744790792465,6460.546929762217,29.824552059173584,1695.6520255441667,-0.7289667143935189,413.6593472957611,-0.018912306055426598,0.1359243206819668,905.3067227169673,1737.3877216437654,0.3899341821670532,-0.6373996714795765
14,0.014562052674591541,5523.580128699188,5615.486873682506,-0.6280731832527784,0.17749664187431335,0.018953613936901093,6460.546929762217,29.69331431388855,1613.3416189317702,-0.6415648384278435,443.46548771858215,-0.011861664243042469,0.1359243206819668,905.3067227169673,1671.0349370129898,0.3781001567840576,-0.5603413863209384
15,0.010521878488361835,5588.503677146048,5709.5308618045065,-0.5673116899942774,0.15342333912849426,0.014978310093283653,6460.546929762217,29.55131983757019,1562.1653277117412,-0.5852028114460718,473.1228892803192,-0.014637740328907967,0.1359243206819668,905.3067227169673,1617.02505827109,0.3670157492160797,-0.5159540302141206
